hscode,hscode_desc,val_01,vol_01,val_02,vol_02,val_03,vol_03,val_04,vol_04,val_05,vol_05,val_06,vol_06,val_07,vol_07,val_08,vol_08,val_09,vol_09,val_10,vol_10,val_11,vol_11,val_12,vol_12,value,volume,share_val,share_weight
308301000,"Jellyfish (Rhopilema spp.), live","22,891","3,365","18,769","2,394","25,695","2,643","18,673","3,835","17,951","3,516","26,520","4,096","13,850","1,912","11,198","2,345","14,852","2,049","36,137","6,000","24,255","3,584","27,909","2,810","258,700","38,549",0.01,0.01
308302000,"Jellyfish (Rhopilema spp.), fresh or","32,424","14,085","11,188","4,680","14,932","9,360","40,785","23,400","8,103","4,680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107,432","56,205",0,0.01
308303000,"Jellyfish (Rhopilema spp.), frozen",0,0,0,0,0,0,0,0,0,0,"38,788","15,000",0,0,0,0,0,0,0,0,0,0,0,0,"38,788","15,000",0,0
308304000,"Jellyfish (Rhopilema spp.), dried,","404,418","669,760","387,654","186,350","1,178,663","1,275,272","235,478","102,098","264,876","217,627","764,107","698,080","437,208","499,707","648,722","271,320","170,059","72,901","150,167","141,875","224,935","323,415","49,610","30,600","4,915,897","4,489,005",0.17,0.65
308901000,Oth aquatic invertebrates oth than,"210,371","51,313","217,850","42,669","209,471","53,739","217,219","35,285","200,876","34,351","224,027","40,118","171,278","26,805","231,991","41,954","220,603","37,479","239,835","38,045","273,073","36,108","152,261","19,808","2,568,855","457,674",0.09,0.07
308902000,Oth aquatic invertebrates oth than,"4,776",303,"5,759",611,"7,922",556,"7,788",590,"10,423",702,"16,048",681,"5,177",639,"4,776","1,086","7,105",810,"3,944",420,"15,771",909,"6,035",492,"95,524","7,799",0,0
308903000,Oth aquatic invertebrates oth than,0,0,75,1,46,70,376,5,29,40,59,10,0,0,89,20,0,0,29,2,0,0,14,2,717,150,0,0
308904000,Oth aquatic invertebrates oth than,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,409,614,409,0,0
,TOTAL,"214,907,536","53,688,753","210,223,368","51,009,568","236,111,370","57,668,796","244,950,458","59,249,437","250,065,708","61,469,734","284,653,806","65,772,874","164,389,753","37,688,377","238,296,195","51,092,055","247,740,853","56,454,285","259,923,644","61,946,815","265,878,699","63,655,617","282,828,160","68,044,601","2,899,969,550","687,740,912",,
,,January Nil/Val (US $),January Brt/Wgt (kg),February Nil/Val (US $),February Brt/Wgt (kg),March Nil/Val (US $),March Brt/Wgt (kg),April Nil/Val (US $),April Brt/Wgt (kg),May Nil/Val (US $),May Brt/Wgt (kg),June Nil/Val (US $),June Brt/Wgt (kg),July Nil/Val (US $),July Brt/Wgt (kg),August Nil/Val (US $),August Brt/Wgt (kg),September Nil/Val (US $),September Brt/Wgt (kg),October Nil/Val (US $),October Brt/Wgt (kg),November Nil/Val (US $),November Brt/Wgt (kg),December Nil/Val (US $),December Brt/Wgt (kg),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bulan,Nilai (US $),Berat (Kg),,,,,,,,,,,,,,,,,,,,,,,,,,
,Januari,"214,907,536",53688753,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pebruari,210223368,51009568,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maret,236111370,57668796,,,,,,,,,,,,,,,,,,,,,,,,,,
,April,244950458,59249437,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mei,250065708,61469734,,,,,,,,,,,,,,,,,,,,,,,,,,
,Juni,284653806,65772874,,,,,,,,,,,,,,,,,,,,,,,,,,
,Juli,164389753,37688377,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agustus,238296195,51092055,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sepember,247740853,56454285,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oktober,259923644,61946815,,,,,,,,,,,,,,,,,,,,,,,,,,
,November,265878699,63655617,,,,,,,,,,,,,,,,,,,,,,,,,,
,Desember,282828160,68044601,,,,,,,,,,,,,,,,,,,,,,,,,,
